Algorytm;Wielkosc tablicy;Wartosci losowo;Wartosci rosnaco;Wartosci malejaco;Pomocnicza
wyszukiwanie binarne;7700;0;12;0;12.9106
wyszukiwanie binarne;7800;0;12;0;12.9293
wyszukiwanie binarne;7900;0;11;0;12.9476
wyszukiwanie binarne;8000;0;12;0;12.9658
wyszukiwanie binarne;8100;0;10;0;12.9837
wyszukiwanie binarne;8200;0;12;0;13.0014
wyszukiwanie binarne;8300;0;11;0;13.0189
wyszukiwanie binarne;8400;0;11;0;13.0362
wyszukiwanie binarne;8500;0;9;0;13.0532
wyszukiwanie binarne;8600;0;11;0;13.0701
wyszukiwanie binarne;8700;0;11;0;13.0868
wyszukiwanie binarne;8800;0;12;0;13.1033
wyszukiwanie binarne;8900;0;12;0;13.1196
wyszukiwanie binarne;9000;0;8;0;13.1357
wyszukiwanie binarne;9100;0;9;0;13.1517
wyszukiwanie binarne;9200;0;12;0;13.1674
wyszukiwanie binarne;9300;0;12;0;13.183
wyszukiwanie binarne;9400;0;10;0;13.1984
wyszukiwanie binarne;9500;0;12;0;13.2137
wyszukiwanie binarne;9600;0;11;0;13.2288
wyszukiwanie binarne;9700;0;13;0;13.2438
wyszukiwanie binarne;9800;0;13;0;13.2586
wyszukiwanie binarne;9900;0;13;0;13.2732
